,Graphisme (ou direction artistique),Gameplay,Répétivivité (durée de vie),Musique / Sound Design,Scénario / mise en scène,Gamedesign / leveldesign,Total,,Temps de jeu
Alan Wake,10,9,9,10,10,9,"9,5",35,11
Assassin's Creed,7,7,4,6,7,8,"6,5",113,15
Assassin's Creed 2,9,9,8,8,10,9,"8,8",69,20
Assassin's Creed 2 Brotherhood,9,9,9,8,9,10,"9,0",59,25
Assassin's Creed 2 Revelation,9,9,6,8,6,7,"7,5",109,10
Assassin's Creed 3,9,10,7,8,8,8,"8,3",89,15
Assassin's Creed 4 Black Flag,9,10,8,8,9,10,"9,0",60,25
Assassin's Creed 5 Unity,7,7,7,7,8,7,"7,2",116,
Assassin's Creed Origins,10,10,9,10,10,10,"9,8",18,35
Baten Kaitos,10,10,10,11,10,10,"10,2",5,60
Batman Arkham Asylum,10,9,7,10,10,9,"9,2",55,12
Batman Arkham City,10,10,9,10,11,10,"10,0",11,13
Batman Arkham Knight,10,9,7,10,10,9,"9,2",56,
Batman Arkham Origins,9,9,6,9,7,7,"7,8",107,
Big Pharma,7,7,5,7,7,6,"6,5",123,2
Bioshock,10,10,10,10,11,10,"10,2",5,20
Bioshock 2,9,10,7,10,6,8,"8,3",95,11
Bioshock Infinite,10,10,10,10,10,10,"10,0",11,26
Bloodborne (TO FINISH),10,9,9,10,8,11,"9,5",41,
Borderland,9,8,8,9,9,10,"8,8",76,
Borderland 2,10,9,8,10,10,10,"9,5",41,
Catherine,10,8,7,10,10,9,"9,0",63,
Cities Skyline,9,9,9,10,8,9,"9,0",63,
Civilization 4,8,10,9,9,8,9,"8,8",76,
Civilization 5,8,8,9,9,8,9,"8,5",90,
Civilization 6,9,9,9,9,8,9,"8,8",76,
Civilization Beyond Earth,9,7,7,8,7,8,"7,7",115,
Crysis,11,10,7,7,8,8,"8,5",90,
Crysis 2,9,9,6,6,5,5,"6,7",125,
Dark Souls,8,11,11,9,9,11,"9,8",20,70
Dark Souls 2,8,9,8,8,5,7,"7,5",119,10
Dark Souls 3,10,11,10,9,9,11,"10,0",11,30
Dead Space,9,10,9,9,10,9,"9,3",52,11
Dead Space 2,10,10,9,9,10,9,"9,5",41,9
Democracy 3,7,9,7,7,8,9,"7,8",110,
Deus Ex Human Revolution,9,8,8,9,8,10,"8,7",84,
Dishonored,8,10,9,10,11,10,"9,7",31,12
Dishonored 2 (TO FINISH),8,9,9,9,10,10,"9,2",57,
Doom 3,11,9,8,7,8,6,"8,2",102,11
Dota 2,9,9,6,8,NA,10,"8,4",96,
Dragon Age Origins,7,8,7,9,8,9,"8,0",107,40
Eternal Sonata,9,7,9,11,11,7,"9,0",63,30
Fable 2,8,8,6,8,8,8,"7,7",115,13
Fallout 3,9,10,9,10,10,10,"9,7",31,23
Fallout 4,9,10,9,10,10,10,"9,7",31,26
Fallout New Vegas,9,10,10,10,10,10,"9,8",20,28
Far Cry 2,7,8,5,7,4,8,"6,5",126,15
Far Cry 3,9,7,6,7,9,7,"7,5",119,17
Final Fantasy 10,10,10,10,11,11,9,"10,2",5,
Final Fantasy 12,10,9,9,11,9,9,"9,5",41,
Final Fantasy 13,10,8,9,10,9,7,"8,8",76,62
Final Fantasy 15,11,10,8,10,9,10,"9,7",31,
Final Fantasy 3,9,9,9,11,8,8,"9,0",63,
Final Fantasy 4,10,9,9,11,10,9,"9,7",31,
Final Fantasy 5,10,9,9,11,9,9,"9,5",41,
Final Fantasy 6,10,9,9,11,10,9,"9,7",31,
Final Fantasy 7,9,11,10,11,10,8,"9,8",20,
Final Fantasy 8,10,7,9,11,9,9,"9,2",57,
Final Fantasy 9,10,9,9,11,9,9,"9,5",41,
Final Fantasy X-2,9,9,9,10,8,9,"9,0",63,
Final Fantasy XIII-2,9,10,9,10,10,9,"9,5",41,40
Final Fantasy XIII-3 Lightning Returns,8,9,8,10,9,9,"8,8",76,20
Game Dev Tycoon,7,9,8,7,8,9,"8,0",107,
Gears of War,8,8,7,8,6,7,"7,3",122,
Gears of War 2,8,8,7,8,8,8,"7,8",110,
Gears of War 3,8,9,8,8,9,8,"8,3",97,
Gears of War 4,10,9,8,8,7,7,"8,2",102,
God of War,9,10,8,9,10,8,"9,0",63,
God of War 2018,10,11,9,10,10,9,"9,8",20,
GTA 3,9,9,6,8,6,8,"7,7",115,
GTA 4,8,9,7,8,8,8,"8,0",107,
GTA 5,10,9,7,8,8,8,"8,3",97,
GTA San Andreas,9,9,8,8,9,9,"8,7",84,
Halo,9,10,10,10,10,9,"9,7",31,
Halo 2,9,10,10,9,10,8,"9,3",52,
Halo 3,9,10,9,9,8,8,"8,8",76,
Halo 3 ODST,8,9,9,9,9,7,"8,5",90,
Halo 4,10,10,10,7,10,9,"9,3",52,
Halo Reach,9,10,9,8,10,9,"9,2",57,
Halo Wars,9,9,9,8,9,8,"8,7",84,
Hellblade Senua's Sacriface,10,10,9,11,11,10,"10,2",5,
Horizon Zero Down,11,11,10,10,10,10,"10,3",2,
Kerbal Space Program,8,9,9,7,8,10,"8,5",90,
Life Is Strange,10,8,8,9,10,9,"9,0",63,
Limbo,10,10,9,10,10,10,"9,8",20,
Link to the Past,10,10,10,10,9,10,"9,8",20,
Mad Max,8,9,8,7,7,8,"7,8",110,
Mass Effect,10,9,10,10,10,9,"9,7",31,
Mass Effect 2,10,10,10,10,10,9,"9,8",20,
Mass Effect 3,10,10,10,10,10,10,"10,0",11,
Mass Effect Andromeda,10,11,9,10,9,9,"9,7",31,
Metroid Prime,10,10,9,9,9,10,"9,5",41,
Nier,8,9,10,11,10,9,"9,5",41,
Nier Automata,10,10,10,11,10,11,"10,3",2,
Ocarina of Time,9,10,8,10,9,9,"9,2",57,
Pokemon Soleil,10,11,9,8,8,10,"9,3",52,
Portal,9,10,10,8,10,10,"9,5",41,
Portal 2,10,11,10,8,11,10,"10,0",11,
Prey,8,8,7,8,9,9,"8,2",102,
Prince of Persia,8,7,4,8,7,7,"6,8",124,
Red Dead Redemption,10,9,6,9,10,9,"8,8",76,
Remember me,9,7,8,8,8,7,"7,8",110,
Resonnance of Fate,8,9,9,9,9,8,"8,7",84,
Rise of the Tomb Raider,10,10,7,8,8,9,"8,7",84,
Shadow of Mordor,9,8,5,8,9,10,"8,2",102,
Shadow of The Colossus,10,11,10,10,10,10,"10,2",5,
South Park The Stick of Truth,10,9,9,10,11,10,"9,8",20,
Star Wars Battlefront 2,11,9,8,9,8,9,"9,0",63,
Star Wars Kotor,10,10,10,9,10,10,"9,8",20,
Star Wars Kotor 2,10,10,9,9,9,9,"9,3",52,
TES SKYRIM,10,11,11,10,9,10,"10,2",5,
The last of us,10,10,10,11,11,10,"10,3",2,
The Witcher ,8,6,9,8,10,9,"8,3",97,
The Witcher 2,9,8,10,8,10,9,"9,0",63,
The Witcher 3,11,10,11,10,11,11,"10,7",1,
Tomb Raider 2013,11,10,10,9,10,10,"10,0",11,
Total War Attila,9,10,10,9,10,10,"9,7",31,
Total War Rome 2,9,9,10,9,10,10,"9,5",41,
Total War Warhammer,10,10,10,9,10,10,"9,8",20,
Uncharted,9,8,8,7,9,8,"8,2",102,
Uncharted 2,10,8,8,7,10,8,"8,5",90,
Uncharted 3,10,8,8,7,10,8,"8,5",90,
Uncharted 4,11,9,10,10,10,10,"10,0",11,
What remains of Edith Finch,10,4,6,10,10,6,"7,7",115,
Wind Waker,10,10,10,10,10,10,"10,0",11,
X-COM Enemy Unknown,9,11,10,9,11,10,"10,0",11,50
XIII,10,9,8,8,9,8,"8,7",84,
Youtubers Life,6,4,4,6,2,5,"4,5",129,
Kingdom Hearts,9,8,10,10,9,9,9,63,
The Turing Test,9,10,9,9,10,10,9,63,5