Name	Graphisme (ou direction artistique)	Gameplay	Répétivivité (durée de vie)	Musique / Sound Design	Scénario / mise en scène	Gamedesign / leveldesign	Total	Rank	
Alan Wake	10	9	9	10	10	9	9,5	34	
Assassin's Creed	7	7	4	6	7	8	6,5	113	 
Assassin's Creed 2	9	9	8	8	10	9	8,8	69	
Assassin's Creed 2 Brotherhood	9	9	9	8	9	10	9,0	59	
Assassin's Creed 2 Revelation	9	9	6	8	6	7	7,5	109	
Assassin's Creed 3	9	10	7	8	8	8	8,3	90	
Assassin's Creed 4 Black Flag	9	10	8	8	9	10	9,0	62	
Assassin's Creed 5 Unity	7	7	7	7	8	7	7,2	116	
Assassin's Creed Origins	10	10	9	10	10	10	9,8	17	
Baten Kaitos	10	10	10	11	10	10	10,2	5	
Batman Arkham Asylum	10	9	7	10	10	9	9,2	56	
Batman Arkham City	10	10	9	10	11	10	10,0	11	
Batman Arkham Knight	10	9	7	10	10	9	9,2	56	
Batman Arkham Origins	9	9	6	9	7	7	7,8	108	
Big Pharma	7	7	5	7	7	6	6,5	123	
Bioshock	10	10	10	10	11	10	10,2	5	
Bioshock 2	9	10	7	10	6	8	8,3	96	
Bioshock Infinite	10	10	10	10	10	10	10,0	11	
Bloodborne (TO FINISH)	10	9	9	10	8	11	9,5	41	
Borderland	9	8	8	9	9	10	8,8	77	
Borderland 2	10	9	8	10	10	10	9,5	41	
Catherine	10	8	7	10	10	9	9,0	66	
Cities Skyline	9	9	9	10	8	9	9,0	66	
Civilization 4	8	10	9	9	8	9	8,8	77	
Civilization 5	8	8	9	9	8	9	8,5	91	
Civilization 6	9	9	9	9	8	9	8,8	77	
Civilization Beyond Earth	9	7	7	8	7	8	7,7	116	
Crysis	11	10	7	7	8	8	8,5	91	
Crysis 2	9	9	6	6	5	5	6,7	126	
Dark Souls	8	11	11	9	9	11	9,8	20	
Dark Souls 2	8	9	8	8	5	7	7,5	120	
Dark Souls 3	10	11	10	9	9	11	10,0	11	
Dead Space	9	10	9	9	10	9	9,3	53	
Dead Space 2	10	10	9	9	10	9	9,5	41	
Democracy 3	7	9	7	7	8	9	7,8	111	
Deus Ex Human Revolution	9	8	8	9	8	10	8,7	85	
Dishonored	8	10	9	10	11	10	9,7	31	
Dishonored 2 (TO FINISH)	8	9	9	9	10	10	9,2	59	
Doom 3	11	9	8	7	8	6	8,2	103	
Dota 2	9	9	6	8	NA	10	8,4	97	
Dragon Age Origins	7	8	7	9	8	9	8,0	108	
Eternal Sonata	9	7	9	11	11	7	9,0	66	
Fable 2	8	8	6	8	8	8	7,7	116	
Fallout 3	9	10	9	10	10	10	9,7	31	
Fallout 4	9	10	9	10	10	10	9,7	31	
Fallout New Vegas	9	10	10	10	10	10	9,8	20	
Far Cry 2	7	8	5	7	4	8	6,5	127	
Far Cry 3	9	7	6	7	9	7	7,5	120	
Final Fantasy 10	10	10	10	11	11	9	10,2	5	
Final Fantasy 12	10	9	9	11	9	9	9,5	41	
Final Fantasy 13	10	8	9	10	9	7	8,8	77	
Final Fantasy 15	11	10	8	10	9	10	9,7	31	
Final Fantasy 3	9	9	9	11	8	8	9,0	66	
Final Fantasy 4	10	9	9	11	10	9	9,7	31	
Final Fantasy 5	10	9	9	11	9	9	9,5	41	
Final Fantasy 6	10	9	9	11	10	9	9,7	31	
Final Fantasy 7	9	11	10	11	10	8	9,8	20	
Final Fantasy 8	10	7	9	11	9	9	9,2	59	
Final Fantasy 9	10	9	9	11	9	9	9,5	41	
Final Fantasy X-2	9	9	9	10	8	9	9,0	66	
Final Fantasy XIII-2	9	10	9	10	10	9	9,5	41	
Final Fantasy XIII-3 Lightning Returns	8	9	8	10	9	9	8,8	77	
Game Dev Tycoon	7	9	8	7	8	9	8,0	108	
Gears of War	8	8	7	8	6	7	7,3	123	
Gears of War 2	8	8	7	8	8	8	7,8	111	
Gears of War 3	8	9	8	8	9	8	8,3	98	
Gears of War 4	10	9	8	8	7	7	8,2	103	
God of War	9	10	8	9	10	8	9,0	66	
God of War 2018	10	11	9	10	10	9	9,8	20	
GTA 3	9	9	6	8	6	8	7,7	116	
GTA 4	8	9	7	8	8	8	8,0	108	
GTA 5	10	9	7	8	8	8	8,3	98	
GTA San Andreas	9	9	8	8	9	9	8,7	85	
Halo	9	10	10	10	10	9	9,7	31	
Halo 2	9	10	10	9	10	8	9,3	53	
Halo 3	9	10	9	9	8	8	8,8	77	
Halo 3 ODST	8	9	9	9	9	7	8,5	91	
Halo 4	10	10	10	7	10	9	9,3	53	
Halo Reach	9	10	9	8	10	9	9,2	59	
Halo Wars	9	9	9	8	9	8	8,7	85	
Hellblade Senua's Sacriface	10	10	9	11	11	10	10,2	5	
Horizon Zero Down	11	11	10	10	10	10	10,3	2	
Kerbal Space Program	8	9	9	7	8	10	8,5	91	
Kingdom Hearts	9	8	10	10	9	9	9,2	59	
Life Is Strange	10	8	8	9	10	9	9,0	66	
Limbo	10	10	9	10	10	10	9,8	20	
Link to the Past	10	10	10	10	9	10	9,8	20	
Mad Max	8	9	8	7	7	8	7,8	111	
Mass Effect	10	9	10	10	10	9	9,7	31	
Mass Effect 2	10	10	10	10	10	9	9,8	20	
Mass Effect 3	10	10	10	10	10	10	10,0	11	
Mass Effect Andromeda	10	11	9	10	9	9	9,7	31	
Metroid Prime	10	10	9	9	9	10	9,5	41	
Nier	8	9	10	11	10	9	9,5	41	
Nier Automata	10	10	10	11	10	11	10,3	2	
Ocarina of Time	9	10	8	10	9	9	9,2	59	
Pokemon Soleil	10	11	9	8	8	10	9,3	53	
Portal	9	10	10	8	10	10	9,5	41	
Portal 2	10	11	10	8	11	10	10,0	11	
Prey	8	8	7	8	9	9	8,2	103	
Prince of Persia	8	7	4	8	7	7	6,8	125	
Red Dead Redemption	10	9	6	9	10	9	8,8	77	
Remember me	9	7	8	8	8	7	7,8	111	
Resonnance of Fate	8	9	9	9	9	8	8,7	85	
Rise of the Tomb Raider	10	10	7	8	8	9	8,7	85	
Shadow of Mordor	9	8	5	8	9	10	8,2	103	
Shadow of The Colossus	10	11	10	10	10	10	10,2	5	
Shadow of the Tomb Raider	10	10	7	10	9	10	9,3	53	
South Park The Stick of Truth	10	9	9	10	11	10	9,8	20	
Star Wars Battlefront 2	11	9	8	9	8	9	9,0	66	
Star Wars Kotor	10	10	10	9	10	10	9,8	20	
Star Wars Kotor 2	10	10	9	9	9	9	9,3	53	
TES SKYRIM	10	11	11	10	9	10	10,2	5	
The last of us	10	10	10	11	11	10	10,3	2	
The Turing Test	9	10	9	9	10	10	9,5	41	
The Witcher 	8	6	9	8	10	9	8,3	98	
The Witcher 2	9	8	10	8	10	9	9,0	66	
The Witcher 3	11	10	11	10	11	11	10,7	1	
Tomb Raider 2013	11	10	10	9	10	10	10,0	11	
Total War Attila	9	10	10	9	10	10	9,7	31	
Total War Rome 2	9	9	10	9	10	10	9,5	41	
Total War Warhammer	10	10	10	9	10	10	9,8	20	
Uncharted	9	8	8	7	9	8	8,2	103	
Uncharted 2	10	8	8	7	10	8	8,5	91	
Uncharted 3	10	8	8	7	10	8	8,5	91	
Uncharted 4	11	9	10	10	10	10	10,0	11	
What remains of Edith Finch	10	4	6	10	10	6	7,7	116	
Wind Waker	10	10	10	10	10	10	10,0	11	
X-COM Enemy Unknown	9	11	10	9	11	10	10,0	11	
XIII	10	9	8	8	9	8	8,7	85	
Youtubers Life	6	4	4	6	2	5	4,5	130	